2024-11-09 20:31:47 - ERROR - Request failed for Zigap: 400, message='Bad Request', url='https://api-gateway.zigap.ir/api/v1.9/authenticate/sendotp'
2024-11-09 20:31:47 - ERROR - Request failed for Snapp V2: 400, message='Bad Request', url='https://digitalsignup.snapp.ir/ds3/api/v3/otp?utm_source=snapp.ir&utm_medium=website-button&utm_campaign=menu&cellphone=%7Bphone%7D'
2024-11-09 20:31:47 - ERROR - Request failed for Achareh: 400, message='Bad Request', url='https://api.achareh.co/v2/accounts/login/'
2024-11-09 20:31:48 - ERROR - Request failed for Snapp V1: 
2024-11-09 20:31:49 - ERROR - Request failed for SMS.ir: 400, message='Bad Request', url='https://appapi.sms.ir/api/app/auth/sign-up/verification-code'
2024-11-09 20:31:49 - ERROR - Request failed for Tap33: 406, message='Not Acceptable', url='https://tap33.me/api/v2/user'
2024-11-09 20:31:49 - ERROR - Request failed for Tapsi: 406, message='Not Acceptable', url='https://api.tapsi.ir/api/v2.2/user'
2024-11-09 20:31:49 - ERROR - Request failed for IToll: 422, message='Unprocessable Content', url='https://app.itoll.com/api/v1/auth/login'
2024-11-09 20:31:49 - ERROR - Request failed for Nobat: 422, message='Unprocessable Entity', url='https://nobat.ir/api/public/patient/login/phone'
2024-11-09 20:31:50 - ERROR - Request failed for Abantether: 404, message='Not Found', url='https://abantether.com/users/register/phone/send/'
2024-11-09 20:31:50 - ERROR - Request failed for Anargift: 404, message='Not Found', url='https://api.anargift.com/api/v1/auth/auth'
2024-11-09 20:31:50 - ERROR - Request failed for Tebinja: 429, message='Too Many Requests', url='https://www.tebinja.com/api/v1/users'
2024-11-09 20:31:50 - ERROR - Request failed for Delino: 412, message='Precondition Failed', url='https://www.delino.com/user/register'
2024-11-09 20:31:51 - ERROR - Request failed for Dosma: 404, message='Not Found', url='https://app.dosma.ir/api/v1/account/send-otp/'
2024-11-09 20:31:51 - ERROR - Request failed for Shab: 405, message='Method Not Allowed', url='https://api.shab.ir/api/fa/sandbox/v_1_4/auth/check-mobile'
2024-11-09 20:31:51 - ERROR - Request failed for Sibbazar: 404, message='Not Found', url='https://sandbox.sibbazar.com/api/v1/user/invite'
2024-11-09 20:31:51 - ERROR - Request failed for Taaghche: 403, message='Forbidden', url='https://gw.taaghche.com/v4/site/auth/signup'
2024-11-09 20:31:51 - ERROR - Request failed for Snapp V2: 400, message='Bad Request', url='https://digitalsignup.snapp.ir/ds3/api/v3/otp?utm_source=snapp.ir&utm_medium=website-button&utm_campaign=menu&cellphone=%7Bphone%7D'
2024-11-09 20:31:51 - ERROR - Request failed for Zigap: 400, message='Bad Request', url='https://api-gateway.zigap.ir/api/v1.9/authenticate/sendotp'
2024-11-09 20:31:51 - ERROR - Request failed for Achareh: 400, message='Bad Request', url='https://api.achareh.co/v2/accounts/login/'
2024-11-09 20:31:51 - ERROR - Request failed for Classino: 423, message='Locked', url='https://student.classino.com/otp/v1/api/login'
2024-11-09 20:31:52 - ERROR - Request failed for SMS.ir: 400, message='Bad Request', url='https://appapi.sms.ir/api/app/auth/sign-up/verification-code'
2024-11-09 20:31:52 - ERROR - Request failed for Tapsi: 406, message='Not Acceptable', url='https://api.tapsi.ir/api/v2.2/user'
2024-11-09 20:31:52 - ERROR - Request failed for Tap33: 406, message='Not Acceptable', url='https://tap33.me/api/v2/user'
2024-11-09 20:31:52 - ERROR - Request failed for IToll: 422, message='Unprocessable Content', url='https://app.itoll.com/api/v1/auth/login'
2024-11-09 20:31:52 - ERROR - Request failed for Anargift: 404, message='Not Found', url='https://api.anargift.com/api/v1/auth/auth'
2024-11-09 20:31:52 - ERROR - Request failed for Abantether: 404, message='Not Found', url='https://abantether.com/users/register/phone/send/'
2024-11-09 20:31:53 - ERROR - Request failed for Tebinja: 429, message='Too Many Requests', url='https://www.tebinja.com/api/v1/users'
2024-11-09 20:31:53 - ERROR - Request failed for Paklean: 429, message='Too Many Requests', url='https://client.api.paklean.com/download'
2024-11-09 20:31:53 - ERROR - Request failed for Delino: 412, message='Precondition Failed', url='https://www.delino.com/user/register'
2024-11-09 20:31:53 - ERROR - Request failed for Miare: 429, message='Too Many Requests', url='https://www.miare.ir/api/otp/driver/request/'
2024-11-09 20:31:53 - ERROR - Request failed for Dosma: 404, message='Not Found', url='https://app.dosma.ir/api/v1/account/send-otp/'
2024-11-09 20:31:53 - ERROR - Request failed for Sibbazar: 404, message='Not Found', url='https://sandbox.sibbazar.com/api/v1/user/invite'
2024-11-09 20:31:54 - ERROR - Request failed for Shab: 405, message='Method Not Allowed', url='https://api.shab.ir/api/fa/sandbox/v_1_4/auth/check-mobile'
2024-11-09 20:31:54 - ERROR - Request failed for Taaghche: 403, message='Forbidden', url='https://gw.taaghche.com/v4/site/auth/signup'
2024-11-09 20:31:54 - ERROR - Request failed for Snapp V1: 500, message='Internal Server Error', url='https://api.snapp.ir/api/v1/sms/link'
2024-11-09 20:31:54 - ERROR - Request failed for Zigap: 400, message='Bad Request', url='https://api-gateway.zigap.ir/api/v1.9/authenticate/sendotp'
2024-11-09 20:31:54 - ERROR - Request failed for Achareh: 400, message='Bad Request', url='https://api.achareh.co/v2/accounts/login/'
2024-11-09 20:31:54 - ERROR - Request failed for Ostadkr: 406, message='Not Acceptable', url='https://api.ostadkr.com/login'
2024-11-09 20:31:54 - ERROR - Request failed for Nobat: 422, message='Unprocessable Entity', url='https://nobat.ir/api/public/patient/login/phone'
2024-11-09 20:31:54 - ERROR - Request failed for Classino: 423, message='Locked', url='https://student.classino.com/otp/v1/api/login'
2024-11-09 20:31:55 - ERROR - Request failed for SMS.ir: 400, message='Bad Request', url='https://appapi.sms.ir/api/app/auth/sign-up/verification-code'
2024-11-09 20:31:55 - ERROR - Request failed for Tap33: 406, message='Not Acceptable', url='https://tap33.me/api/v2/user'
2024-11-09 20:31:55 - ERROR - Request failed for IToll: 422, message='Unprocessable Content', url='https://app.itoll.com/api/v1/auth/login'
2024-11-09 20:31:55 - ERROR - Request failed for Tapsi: 406, message='Not Acceptable', url='https://api.tapsi.ir/api/v2.2/user'
