2024-11-06 23:00:59 - ERROR - Request failed for Tap33: 429, message='Too Many Requests', url='https://tap33.me/api/v2/user'
2024-11-06 23:00:59 - ERROR - Request failed for Tapsi: 429, message='Too Many Requests', url='https://api.tapsi.ir/api/v2.2/user'
2024-11-06 23:00:59 - ERROR - Request failed for Jabama: 429, message='Too Many Requests', url='https://gw.jabama.com/api/v4/account/send-code'
2024-11-06 23:00:59 - ERROR - Request failed for Hamrah-Mechanic: 429, message='Too Many Requests', url='https://www.hamrah-mechanic.com/api/v1/membership/otp'
2024-11-06 23:01:00 - ERROR - Request failed for Achareh: 429, message='Too Many Requests', url='https://api.achareh.co/v2/accounts/login/'
2024-11-06 23:01:00 - ERROR - Request failed for Abantether: 404, message='Not Found', url='https://abantether.com/users/register/phone/send/'
2024-11-06 23:01:00 - ERROR - Request failed for Zigap: 400, message='Bad Request', url='https://api-gateway.zigap.ir/api/v1.9/authenticate/sendotp'
2024-11-06 23:01:00 - ERROR - Request failed for IToll: 422, message='Unprocessable Content', url='https://app.itoll.com/api/v1/auth/login'
2024-11-06 23:01:00 - ERROR - Request failed for Tebinja: 429, message='Too Many Requests', url='https://www.tebinja.com/api/v1/users'
2024-11-06 23:01:00 - ERROR - Request failed for Alibaba: [WinError 64] The specified network name is no longer available
2024-11-06 23:01:00 - ERROR - Request failed for Anargift: 404, message='Not Found', url='https://api.anargift.com/api/v1/auth/auth'
2024-11-06 23:01:00 - ERROR - Request failed for Ostadkr: 406, message='Not Acceptable', url='https://api.ostadkr.com/login'
2024-11-06 23:01:00 - ERROR - Request failed for Delino: 412, message='Precondition Failed', url='https://www.delino.com/user/register'
2024-11-06 23:01:00 - ERROR - Request failed for Taaghche: 403, message='Forbidden', url='https://gw.taaghche.com/v4/site/auth/signup'
2024-11-06 23:01:00 - ERROR - Request failed for Miare: 429, message='Too Many Requests', url='https://www.miare.ir/api/otp/driver/request/'
2024-11-06 23:01:00 - ERROR - Request failed for Dosma: 404, message='Not Found', url='https://app.dosma.ir/api/v1/account/send-otp/'
2024-11-06 23:01:00 - ERROR - Request failed for Sibbazar: 404, message='Not Found', url='https://sandbox.sibbazar.com/api/v1/user/invite'
2024-11-06 23:01:00 - ERROR - Request failed for Shab: 405, message='Method Not Allowed', url='https://api.shab.ir/api/fa/sandbox/v_1_4/auth/check-mobile'
2024-11-06 23:01:00 - ERROR - Request failed for Khodro45: 429, message='Too Many Requests', url='https://khodro45.com/api/v1/customers/otp/'
2024-11-06 23:01:00 - ERROR - Request failed for Snapp V2: 400, message='Bad Request', url='https://digitalsignup.snapp.ir/ds3/api/v3/otp?utm_source=snapp.ir&utm_medium=website-button&utm_campaign=menu&cellphone=%7Bphone%7D'
2024-11-06 23:01:00 - ERROR - Request failed for SMS.ir: 400, message='Bad Request', url='https://appapi.sms.ir/api/app/auth/sign-up/verification-code'
2024-11-06 23:01:02 - ERROR - Request failed for pinket: 
